CHROM,mean_DP
1,47.12068639441201
2,48.18913633867629
3,45.40365500025595
4,47.385765174860765
5,42.317395052950125
6,43.909300622482604
7,43.0549632911043
8,41.71749024978913
9,47.06053521268902
10,46.19517252853833
11,40.68040725731869
12,39.95526019270127
13,43.16697343617063
14,40.95342773400327
15,39.416536267040215
16,60.17397820739836
17,49.110986923757345
18,43.38202651849239
19,38.68987141652614
20,52.97569477982175
21,91.79002200590789
22,38.17941455500406
